client_id,client_first_name,client_middle_name,client_last_name,client_fio_full,client_bday,client_bplace,client_cityzen,client_resident_cd,client_gender,client_marital_cd,client_graduate,client_child_cnt,client_mil_cd,client_zagran_cd,client_inn,client_snils,client_vip_cd,contact_vc,contact_tg,contact_other,contact_email,contact_phone,addr_region,addr_country,addr_zip,addr_street,addr_house,addr_body,addr_flat,addr_area,addr_loc,addr_city,addr_reg_dt,addr_str,fin_rating,fin_loan_limit,fin_loan_value,fin_loan_debt,fin_loan_percent,fin_loan_begin_dt,fin_loan_end_dt,stream_favorite_show,stream_duration,create_date,update_date,source_cd
20712224,ШЕРИН,МАДРИДОВИЧ,КОСЯНОК,КОСЯНОК ШЕРИН МАДРИДОВИЧ,1929-06-29,С.ВАСИЛЬЕВКА ОКОНЕШНИКОВСКОГО Р-НА ОМСКОЙ ОБЛ.,RUS,Д,М,Н,Н,0.0,Д,Д,27575578374.0,85899635395.0,Н,,,,kosynok@leesville.com,+7 939 911 4455,,1103.0,623300,СТРОИТЕЛЕЙ,7,,1,,,КРАСНОУФИМСК,,"г.КРАСНОУФИМСК, ул. СТРОИТЕЛЕЙ, д.7, кв.1",5.0,124700.0,123000.0,112143.0,4.0,2022-05-28,2022-12-24,,,2023-09-22 05:00:12.444,2024-09-20 09:58:55.608,Bank2
373576872,ПЕРНЕГУЛ,АИКОВНА,КЕРМЕ,КЕРМЕ ПЕРНЕГУЛ АИКОВНА,1959-11-16,ПОС АМАЗАР МОГОЧИНСКОГО РАЙОНА ЧИТИНСКОЙ ОБЛАСТИ,RUS, ,Ж, ,,, , ,,,,,,,kerme@lv-inter.net,+7 927 866 5274,34.0,1103.0,404130,ПУШКИНА,72,,23,,,ВОЛЖСКИЙ,,"34, г.ВОЛЖСКИЙ, ул. ПУШКИНА, д.72, кв.23",,,,,,,,,,2017-10-28 03:41:06.301,2024-09-20 09:55:59.118,Telco
479979670,КАЛИЙ,ФЕРЗАЛИЕВИЧ,СКЛИЗКОВ,СКЛИЗКОВ КАЛИЙ ФЕРЗАЛИЕВИЧ,0061-07-22,С.МАЙ-УЗЕК ТЕЛЬМАНСКОГО Р-НА КАРАГАНДИНСКОЙ ОБЛ КАЗАХСТАН,RUS, ,М, ,,, , ,,,,,,,sklizkov@quds.cc,+7 990 894 3275,55.0,1103.0,644090,БАРХОТОВОЙ,9,,25,,,ОМСК,,"55, г.ОМСК, ул. БАРХОТОВОЙ, д.9, кв.25",,,,,,,,,,2022-03-05 23:56:29.678,2024-09-20 09:54:05.497,Telco
500252163,БУНЕД,БОРАМБАЕВИЧ,БОБЕНКО,БОБЕНКО БУНЕД БОРАМБАЕВИЧ,1985-01-10,ПОС. ШАПКА СРЕТЕНСКОГО Р-НА ЧИТИНСКОЙ ОБЛ.,RUS, ,М, ,,1.0,Д,Н,590318203763.0,,,bu_b_bobenko,@bobenko_buned,,bobenko@gohip.com,+7 970 662 8007,,,,,,,,,,,,"42, г.НОВОКУЗНЕЦК, ул. УШИНСКОГО, д.1, кв.76",,,,,,,,,,2024-09-05 14:55:26.400,2024-09-20 09:53:10.280,Travel
490908539,ИШХАН,ВИЛЕНОВНА,ТУРУБАРА,ТУРУБАРА ИШХАН ВИЛЕНОВНА,1933-05-21,С. СИНЕЛЬНИКОВО ОКТЯБРЬСКОГО Р-НА ПРИМОРСКОГО КРАЯ,RUS, ,М, ,,1.0,Д,Н,149190180105.0,,,ih_v_turubara,@turubara_ihkan,,turubara@siliconemail.com,+7 959 666 7402,,,,,,,,,,,,"66, Г. ПЕРВОУРАЛЬСК, б-р ЮНОСТИ, д.8, кв.12",,,,,,,,,,2024-07-16 04:58:22.388,2024-09-20 09:52:28.341,Travel
383436876,ДЮЛБЕР,ОСВАЛЬДИТОВНА,ПУЖАНЕЦ,ПУЖАНЕЦ ДЮЛБЕР ОСВАЛЬДИТОВНА,1973-09-22,С.ШИВИЯ ОЛОВЯННИНСКОГО РАЙОНА,RUS, ,Ж, ,,, , ,,,,,,,puzanez@buraydah.cc,+7 994 863 2394,10.0,1103.0,186137,,1,,37,ПРЯЖИНСКИЙ,,,,"10, ПРЯЖИНСКИЙ р-он, П. КУНГОЗЕPСКИЙ, д.1, кв.37",,,,,,,,,,2024-06-25 07:10:10.456,2024-09-20 09:51:17.451,Telco
696309814,БАТУРДИН,БАТО-МУНКУЕВИЧ,ГУМЕННИК,ГУМЕННИК БАТУРДИН БАТО-МУНКУЕВИЧ,1997-06-17,ПГТ.ГОРНЫЙ ТОГУЧИНСКОГО Р-НА НСО,RUS,Д,М,Н,Д,0.0,Д,Н,453905236449.0,85700682496.0,Н,,,,gumennik@ladyfire.com,+7 939 495 9384,54.0,1103.0,,МАКАРЕНКО,19,1,150,,,,,"54, Г. НОВОСИБИРСК, ул. МАКАРЕНКО, д.19, корп.1, кв.150",2.0,952600.0,947000.0,692768.0,33.0,2018-01-01,2018-09-28,,,2022-09-19 09:24:02.917,2024-09-20 09:50:27.704,Bank2
428386238,Нуратин,Эльгуджаевич,Кизима,Кизима Нуратин Эльгуджаевич,1970-02-19,,, ,М, ,,1.0, , ,,,,,,,kizima@gotomy.com,+7 964 838 7578,,,,,,,,,,,,,,,,,,,,Finding Nemo,1013.0,2023-06-16 13:09:00.619,2024-09-20 09:49:03.073,Stream
575615912,ТЮЛЮБАЙ,ЯМИЛЬЕВИЧ,СИВЧИКОВ,СИВЧИКОВ ТЮЛЮБАЙ ЯМИЛЬЕВИЧ,1936-01-01,С. ИВАНКОВО АЛЬМЕНЕВСКОГО Р-НА КУРГАНСКОЙ ОБЛ.,RUS,Д,М,Д,Н,2.0,Д,Н,616956621883.0,80434309905.0,Н,,,,sivhikov@bicycling.com,+7 933 540 2014,66.0,1103.0,624449,ЧКАЛОВА,26,,42,,,КРАСНОТУРЬИНСК,,"66, г.КРАСНОТУРЬИНСК, ул ЧКАЛОВА, д.26, кв.42",0.0,,,,,,,,,2022-12-28 01:31:21.859,2024-09-20 09:47:50.668,Bank2
147687510,ВЕНАРА,КИРСАНОВНА,ГАРШИНА,ГАРШИНА ВЕНАРА КИРСАНОВНА,1936-10-09,С.САРЕПТА ТЕЛЬМАНСКОГО Р-НА КАРАГАНДИНСКОЙ ОБЛ.,RUS, ,Ж, ,,, , ,,,,,,,garhina@najaf.cc,+7 908 936 7024,33.0,1103.0,601750,ЖЕЛЕЗНОДОРОЖНАЯ,15,,7,,,,,"33, Г. ЮРЬЕВ-ПОЛЬСКИЙ, ул. ЖЕЛЕЗНОДОРОЖНАЯ, д.15, кв.7",,,,,,,,,,2023-05-04 10:21:20.106,2024-09-20 09:45:35.345,Telco
